row,col,R,G,B,R_norm,G_norm,B_norm,brightness
3,112,255,255,255,1.0,1.0,1.0,light
3,113,255,255,255,1.0,1.0,1.0,light
3,114,255,255,255,1.0,1.0,1.0,light
3,115,255,255,255,1.0,1.0,1.0,light
3,116,255,255,255,1.0,1.0,1.0,light
3,117,255,255,255,1.0,1.0,1.0,light
3,118,255,255,255,1.0,1.0,1.0,light
3,119,255,255,255,1.0,1.0,1.0,light
3,120,255,255,255,1.0,1.0,1.0,light
3,121,255,255,255,1.0,1.0,1.0,light
3,122,255,255,255,1.0,1.0,1.0,light
3,123,255,255,255,1.0,1.0,1.0,light
3,124,255,255,255,1.0,1.0,1.0,light
3,125,255,255,255,1.0,1.0,1.0,light
3,126,255,255,255,1.0,1.0,1.0,light
3,127,255,255,255,1.0,1.0,1.0,light
4,0,255,255,255,1.0,1.0,1.0,light
4,1,255,255,255,1.0,1.0,1.0,light
4,2,255,255,255,1.0,1.0,1.0,light
4,3,255,255,255,1.0,1.0,1.0,light
4,4,255,255,255,1.0,1.0,1.0,light
4,5,255,255,255,1.0,1.0,1.0,light
4,6,255,255,255,1.0,1.0,1.0,light
4,7,255,255,255,1.0,1.0,1.0,light
4,8,255,255,255,1.0,1.0,1.0,light
4,9,255,255,255,1.0,1.0,1.0,light
4,10,255,255,255,1.0,1.0,1.0,light
4,11,255,255,255,1.0,1.0,1.0,light
4,12,255,255,255,1.0,1.0,1.0,light
4,13,255,255,255,1.0,1.0,1.0,light
4,14,255,255,255,1.0,1.0,1.0,light
4,15,255,255,255,1.0,1.0,1.0,light
4,16,255,255,255,1.0,1.0,1.0,light
4,17,255,255,255,1.0,1.0,1.0,light
4,18,255,255,255,1.0,1.0,1.0,light
4,19,255,255,255,1.0,1.0,1.0,light
4,20,255,255,255,1.0,1.0,1.0,light
4,21,255,255,255,1.0,1.0,1.0,light
4,22,255,255,255,1.0,1.0,1.0,light
4,23,255,255,255,1.0,1.0,1.0,light
4,24,255,255,255,1.0,1.0,1.0,light
4,25,255,255,255,1.0,1.0,1.0,light
4,26,255,255,255,1.0,1.0,1.0,light
4,27,255,255,255,1.0,1.0,1.0,light
4,28,255,255,255,1.0,1.0,1.0,light
4,29,255,255,255,1.0,1.0,1.0,light
4,30,255,255,255,1.0,1.0,1.0,light
4,31,255,255,255,1.0,1.0,1.0,light
4,32,255,255,255,1.0,1.0,1.0,light
4,33,255,255,255,1.0,1.0,1.0,light
4,34,255,255,255,1.0,1.0,1.0,light
4,35,255,255,255,1.0,1.0,1.0,light
4,36,255,255,255,1.0,1.0,1.0,light
