row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_minmax,G_minmax,B_minmax
2,52,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,53,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,54,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,55,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,56,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,57,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,58,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,59,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,60,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,61,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,62,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,63,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,64,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,65,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,66,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,67,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,68,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,69,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,70,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,71,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,72,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,73,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,74,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,75,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,76,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,77,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,78,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,79,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,80,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,81,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,82,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,83,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,84,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,85,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,86,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,87,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,88,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,89,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,90,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,91,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,92,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,93,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,94,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,95,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,96,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,97,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,98,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,99,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,100,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,101,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,102,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,103,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,104,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,105,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,106,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,107,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,108,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,109,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,110,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,111,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,112,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,113,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,114,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,115,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,116,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,117,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,118,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,119,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,120,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,121,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,122,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,123,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,124,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,125,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
